what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode, sharing",1352824856000
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1352824856000
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1352824856000
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1352824856000
java.vm.specification.version,sysinfo,,,"1.7",1352824856000
java.vm.vendor,sysinfo,,,"Oracle Corporation",1352824856000
java.vm.version,sysinfo,,,"23.3-b01",1352824856000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352824856078
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1352824856092
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1352824857075
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1352824857289
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1352824857958
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1352824859996
