@relation "myrelation"
@attribute feat string
@attribute lemma string
@attribute link string
@attribute sms string
@attribute classatr {positive,negative,neutral}
@data
'A ЕД МУЖ ИМ', 'ВОЛШЕБНЫЙ', 'опред', 'волшебный', positive
'S ЕД МУЖ ИМ ОД', 'ВОРОН', 'предик', 'ворон', positive
'CONJ', 'И', 'сочин', 'и', positive
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'ОРОШАТЬ', 'соч-союзн', 'орошал', positive
'A ЕД МУЖ ТВОР', 'КАКОЙ-ТО', '2-компл', 'каким-то', positive
'A ЕД МУЖ ТВОР', 'СКАЗОЧНЫЙ', 'опред', 'сказочным', positive
'NID', 'ГАВНОМ', '1-компл', 'гавном', positive
'PR', 'С', 'примыкат', 'с', positive
'S ЕД МУЖ РОД НЕОД', 'МВ', 'атриб', 'МВ', positive
'ADV', 'КОНЕЧНО', 'вводн', 'конечно', positive
'PART', 'ЖЕ', 'огранич', 'же', positive
'NID', 'D', 'атриб', 'D', positive
'S ЕД МУЖ ДАТ ОД', 'Я', '2-компл', 'Мне', positive
'ADV', 'ВЧЕРА', 'обст', 'вчера', positive
'S МН МУЖ ИМ ОД', 'РЕБЕНОК', 'предик', 'дети', positive
'V СОВ ИЗЪЯВ ПРОШ МН', 'СКАЗАТЬ', 'разъяснит', 'сказали', positive
'A ЕД ЖЕН ВИН', 'УМНЫЙ', 'опред', 'умную', positive
'S ЕД ЖЕН ВИН НЕОД', 'ФРАЗА', '1-компл', 'фразу', positive
'S ЕД МУЖ ИМ ОД', 'ПАПА', 'предик', 'Папа', positive
'ADV', 'КОНЕЧНО', 'вводн', 'конечно', positive
'S ЕД МУЖ ИМ ОД', 'ХОЗЯИН', 'предик', 'хозяин', positive
'PR', 'В', 'разъяснит', 'в', positive
'S ЕД МУЖ ПР НЕОД', 'ДОМ', 'предл', 'доме', positive
'CONJ', 'НО', 'сент-соч', 'НО', positive
'S ЕД ЖЕН ИМ ОД', 'МАМА', 'предик', 'МАМА', positive
'S ЕД МУЖ ИМ ОД', 'ХОЗЯИН', 'соч-союзн', 'хозяин', positive
'S ЕД МУЖ РОД ОД', 'ПАПА', '1-компл', 'папы', positive
'PR', 'НА', 'обст', 'НА', positive
'A ЕД МУЖ ПР', 'ЭТОТ', 'опред', 'ЭТОМ', positive
'S ЕД МУЖ ПР НЕОД', 'МОМЕНТ', 'предл', 'МОМЕНТЕ', positive
'A ЕД ЖЕН ДАТ', 'МОЙ', 'опред', 'МОЕЙ', positive
'S ЕД ЖЕН ДАТ НЕОД', 'ПСИХИКА', 'несобст-агент', 'ПСИХИКЕ', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'ПРИХОДИТЬ', 'разъяснит', 'ПРИШЁЛ', positive
'S ЕД МУЖ ИМ НЕОД', 'КОНЕЦ', 'предик', 'КОНЕЦ', positive
'NID', 'D', 'квазиагент', 'D', positive
'NID', 'HTTP', 'аппоз', 'http', positive
'S', 'T.CO', 'аппоз', 't.co', positive
'S', 'JDM2A3SZBT', 'аппоз', 'JdM2a3SzbT', positive
'S ЕД ЖЕН ИМ ОД', 'ОЛЯ', 'предик', 'Оля', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'БЫТЬ', 'разъяснит', 'будет', positive
'V НЕСОВ ИНФ', 'СИДЕТЬ', 'аналит', 'сидеть', positive
'ADV', 'ДОМА', '1-компл', 'дома', positive
'CONJ', 'И', 'сочин', 'и', positive
'V НЕСОВ ИНФ', 'ГОТОВИТЬСЯ', 'соч-союзн', 'готовиться', positive
'PR', 'К', '1-компл', 'к', positive
'NID', 'СЕССИИ', 'предл', 'сессии', positive
'V СОВ ИЗЪЯВ НЕПРОШ МН 2-Л', 'ЗАПОМИНАТЬ', 'разъяснит', 'запомните', positive
'A МН ВИН НЕОД', 'ЭТОТ', 'опред', 'эти', positive
'S МН СРЕД ВИН НЕОД', 'СЛОВО', '1-компл', 'слова', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'БЫТЬ', 'разъяснит', 'Буду', positive
'V НЕСОВ ИНФ', 'ПИСАТЬ', 'аналит', 'писать', positive
'PR', 'В', '2-компл', 'в', positive
'NID', 'ТВИ', 'предл', 'тви', positive
'A ЕД МУЖ ВИН НЕОД', 'КАЖДЫЙ', 'опред', 'каждый', positive
'S ЕД МУЖ ВИН НЕОД', 'РАЗ', 'обст', 'раз', positive
'ADV', 'КОГДА', 'обст', 'когда', positive
'S ЕД ЖЕН ИМ ОД', 'ОНА', 'предик', 'она', positive
'V СОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'НАРУШАТЬ', 'релят', 'нарушит', positive
'S ЕД СРЕД ВИН НЕОД', 'ОБЕЩАНИЕ', '1-компл', 'обещание', positive
'S МН ИМ ОД', 'ОНИ', 'fictit', 'они', positive
'A МН ИМ', 'БОЛЬШИЙ', 'предик', 'большие', positive
'PR', 'ОТ', 'атриб', 'от', positive
'S МН РОД ОД', 'ОНИ', 'предл', 'них', positive
'ADV', 'МНОГО', 'обст', 'много', positive
'NID', 'БОЛИ', 'fictit', 'боли', positive
'NID', 'D', 'аппоз', 'D', positive
'S', '@WINDY_TS', '', '@windy_ts', positive
'NID', 'ХООЛОО', 'fictit', 'Хоолоо', positive
'S ЕД МУЖ ИМ ОД', 'Х', 'вспом', 'х', positive
'NID', 'ЛЭЭСЭЭР', 'аппоз', 'лээсээр', positive
'NID', 'ЦАЙНЫ', 'аппоз', 'цайны', positive
'NID', 'ЦАГ', 'аппоз', 'цаг', positive
'NID', 'ДУУСЛАА', 'аппоз', 'дууслаа', positive
'NID', 'ХОДООД', 'аппоз', 'Ходоод', positive
'NID', 'ХОНГОЛЗСООР', 'аппоз', 'хонголзсоор', positive
'S ЕД МУЖ ИМ НЕОД', 'АР', 'fictit', 'ар', positive
'PR', 'В', 'распред', 'в', positive
'S ЕД МУЖ ВИН НЕОД', 'РУБЛЬ', 'предл', 'р', positive
'S ЕД МУЖ ИМ НЕОД', 'ХАНГАЙ', 'разъяснит', 'хангай', positive
'NID', 'НИЙЛЛЭЭ', 'аппоз', 'нийллээ', positive
'NID', 'P', 'fictit', 'P', positive
'NID', 'ХУРАЛД', 'аппоз', 'Хуралд', positive
'NID', 'ОРЧООД', 'аппоз', 'орчоод', positive
'NID', 'ХООЛОО', 'аппоз', 'хоолоо', positive
'NID', 'ИДХСЭЭР', 'аппоз', 'идхсээр', positive
'NID', 'БТАЛ', 'аппоз', 'бтал', positive
'NID', 'PSY', 'аппоз', 'PSY', positive
'NID', 'GENTLEMAN', 'аппоз', 'Gentleman', positive
'S ЕД ЖЕН ИМ НЕОД', 'КОРЕЯ', 'предик', 'Корея', positive
'PR', 'В', 'разъяснит', 'в', positive
'S ЕД МУЖ ПР НЕОД', 'ПОРЯДОК', 'предл', 'порядке', positive
'CONJ', 'А', 'fictit', 'а', positive
'PART', 'ЕЩЕ', 'огранич', 'еще', positive
'S ЕД ЖЕН ИМ НЕОД', 'ФОТКА', 'предик', 'фотка', positive
'ADV', 'ГДЕ', 'обст', 'где', positive
'S МН ИМ ОД', 'ВЫ', 'предик', 'вы', positive
'PR', 'С', 'обст', 'с', positive
'NID', 'КОТЕЙ', 'предл', 'котей', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ МН 2-Л', 'СПАТЬ', 'соч-союзн', 'спите', positive
'A ЕД СРЕД ВИН', 'ТАКОЙ', 'fictit', 'такое', positive
'S ЕД СРЕД ИМ НЕОД', 'ОЩУЩЕНИЕ', 'предик', 'ощущение', positive
'CONJ', 'ЧТО', '1-компл', 'что', positive
'S ЕД ЖЕН ИМ ОД', 'ТЫ', 'подч-союзн', 'ты', positive
'A ЕД ЖЕН ИМ', 'САМ', 'опред', 'сама', positive
'S ЕД МУЖ ВИН ОД', 'СЕБЯ', 'сочин', 'себя', positive
'NID', 'СФОТКАЛА', 'атриб', 'сфоткала', positive
'PR', 'С', 'примыкат', 'с', positive
'S', '@KAZYAFKARITOS', 'примыкат', '@KazyafkaRitos', positive
'S ЕД МУЖ ИМ ОД', 'ФОТОГРАФ', 'примыкат', 'Фотограф', positive
'S ЕД ЖЕН ИМ ОД', 'КИСЕЛЕВА', 'аппоз', 'Киселёва', positive
'PR', 'ЗА', 'атриб', 'за', positive
'S ЕД СРЕД ВИН НЕОД', 'ЧТО', 'предл', 'что', positive
'A ЕД ЖЕН ИМ', 'ТАКОЙ', 'опред', 'такая', positive
'S ЕД ЖЕН ИМ НЕОД', 'ПОДСТАВА', 'сент-соч', 'подстава', positive
'S ЕД ЖЕН ИМ', 'КОТОРЫЙ', 'предик', 'которая', positive
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'СМОТРЕТЬСЯ', 'разъяснит', 'смотрелась', positive
'PART', 'ТОЛЬКО', 'огранич', 'только', positive
'CONJ', 'ЧТО', 'вспом', 'что', positive
'PR', 'В', '1-компл', 'в', positive
'S ЕД СРЕД ВИН НЕОД', 'ЗЕРКАЛО', 'предл', 'зеркало', positive
'NID', 'ОТВЕЧАЙТЕ', 'аппоз', 'отвечайте', positive
'S', 'Я', 'аппоз', 'Я', positive
'NID', 'ЧТОЛИ', 'аппоз', 'чтоли', positive
'NID', 'D', 'fictit', 'D', positive
'PR', 'У', '', 'У', positive
'S ЕД МУЖ РОД ОД', 'ОН', 'предл', 'него', positive
'S МН ЖЕН ИМ НЕОД', 'ПРОБЛЕМА', 'предик', 'проблемы', positive
'PR', 'С', '1-компл', 'с', positive
'S ЕД ЖЕН ТВОР НЕОД', 'МАТЕМАТИКА', 'предл', 'математикой', positive
'S ЕД МУЖ ИМ ОД', 'ОН', 'предик', 'он', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'УМНОЖАТЬ', 'разъяснит', 'умножает', positive
'NUM', '6', '1-компл', '6', positive
'PR', 'НА', 'атриб', 'на', positive
'NUM', '8', 'предл', '8', positive
'CONJ', 'И', 'сочин', 'и', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'ПОЛУЧАТЬ', 'соч-союзн', 'получает', positive
'NUM', '1240', '1-компл', '1240', positive
'NID', 'УНИВЕР', 'fictit', 'универ', positive
'S ЕД МУЖ ИМ НЕОД', 'ГРАНД ОТЕЛЬ', 'fictit', 'гранд отель', positive
'NID', 'РЕЗОРД', 'аппоз', 'резорд', positive
'NID', 'ЭНД', 'аппоз', 'энд', positive
'NID', 'СПА', 'аппоз', 'спа', positive
'S ЕД МУЖ ИМ НЕОД', 'ВОПРОС', 'fictit', 'вопрос', positive
'ADV', 'ГДЕ', 'обст', 'где', positive
'V НЕСОВ СТРАД ИЗЪЯВ НЕПРОШ МН 3-Л', 'ЗАТАРИВАТЬ', '1-компл', 'затариваются', positive
'S МН МУЖ ИМ ОД', 'ЧЕЛОВЕК', 'предик', 'люди', positive
'NID', 'КТОРЫЕ', 'аппоз', 'кторые', positive
'S ЕД СРЕД ВИН НЕОД', 'ЭТО', '1-компл', 'это', positive
'V СОВ ИЗЪЯВ ПРОШ МН', 'ПРИДУМЫВАТЬ', '1-компл', 'придумали', positive
'NID', 'D', 'fictit', 'D', positive
'NID', 'ХАХАХАХАХА', 'аппоз', 'хахахахаха', positive
'NID', 'ЕБААА', 'аппоз', 'ебааа', positive
'NID', 'D', 'fictit', 'D', positive
'PR', 'НА', 'примыкат', 'на', positive
'S', '@YOUTUBE', 'предл', '@YouTube', positive
'NID', 'HTTP', 'аппоз', 'http', positive
'S', 'T.CO', 'аппоз', 't.co', positive
'S', 'OEI7BPUMWK', 'аппоз', 'oEI7BPUMWk', positive
'NUM', '1', 'количест', '1', positive
'S', '@FARIKUS', 'разъяснит', '@farikus', positive
'S', 'И', 'аппоз', 'И', positive
'A ЕД ЖЕН РОД', 'САМ', 'опред', 'самой', positive
'S ЕД ЖЕН РОД ОД', 'ДЕВУШКА', 'атриб', 'девушки', positive
'NID', 'RT', 'fictit', 'RT', positive
'S', '@DJ_FATEH', 'аппоз', '@DJ_Fateh', positive
'S ЕД МУЖ ИМ НЕОД', 'КОНКУРС', 'fictit', 'Конкурс', positive
'NID', 'MISS', 'квазиагент', 'Miss', positive
'NID', 'AZERBAIJAN', 'аппоз', 'Azerbaijan', positive
'S ЕД СРЕД ИМ НЕОД', 'ЭТО', 'fictit', 'это', positive
'ADV', 'КОГДА', 'обст', 'когда', positive
'S ЕД МУЖ ИМ НЕОД', 'БУКЕТ', 'сочин', 'букет', positive
'PR', 'В', 'атриб', 'в', positive
'S МН ЖЕН ПР НЕОД', 'РУКА', 'предл', 'руках', positive
'S ЕД ЖЕН РОД ОД', 'ДЕВУШКА', 'квазиагент', 'девушки', positive
'ADV СРАВ', 'КРАСИВО', 'обст', 'красивее', positive
