ID: 7.0, actual: positive, predicted: positive
ID: 7.0, actual: positive, predicted: positive
ID: 8.0, actual: positive, predicted: positive
ID: 3.0, actual: positive, predicted: positive
ID: 127.0, actual: positive, predicted: neutral
ID: 12.0, actual: positive, predicted: neutral
ID: 7.0, actual: positive, predicted: positive
ID: 7.0, actual: positive, predicted: positive
ID: 102.0, actual: positive, predicted: negative
ID: 161.0, actual: positive, predicted: neutral
ID: 29.0, actual: positive, predicted: positive
ID: 7.0, actual: positive, predicted: positive
ID: 29.0, actual: positive, predicted: positive
ID: 20.0, actual: positive, predicted: positive
ID: 7.0, actual: positive, predicted: positive
ID: 7.0, actual: positive, predicted: positive
ID: 108.0, actual: positive, predicted: neutral
ID: 127.0, actual: positive, predicted: negative
ID: 6.0, actual: positive, predicted: neutral
ID: 7.0, actual: positive, predicted: positive
ID: 7.0, actual: positive, predicted: positive
ID: 23.0, actual: positive, predicted: negative
ID: 6.0, actual: positive, predicted: positive
ID: 15.0, actual: positive, predicted: positive
ID: 8.0, actual: positive, predicted: positive
ID: 12.0, actual: positive, predicted: neutral
ID: 32.0, actual: positive, predicted: neutral
ID: 23.0, actual: positive, predicted: negative
ID: 12.0, actual: positive, predicted: negative
ID: 30.0, actual: positive, predicted: neutral
ID: 12.0, actual: positive, predicted: neutral
ID: 146.0, actual: positive, predicted: neutral
ID: 20.0, actual: positive, predicted: neutral
ID: 47.0, actual: positive, predicted: negative
ID: 42.0, actual: positive, predicted: neutral
ID: 1.0, actual: positive, predicted: neutral
ID: 12.0, actual: positive, predicted: neutral
ID: 17.0, actual: positive, predicted: neutral
ID: 4.0, actual: positive, predicted: negative
ID: 3.0, actual: positive, predicted: negative
ID: 8.0, actual: positive, predicted: negative
ID: 8.0, actual: positive, predicted: positive
ID: 28.0, actual: positive, predicted: neutral
ID: 20.0, actual: positive, predicted: negative
ID: 39.0, actual: positive, predicted: neutral
ID: 4.0, actual: positive, predicted: negative
ID: 3.0, actual: positive, predicted: negative
ID: 8.0, actual: positive, predicted: positive
ID: 7.0, actual: positive, predicted: positive
ID: 7.0, actual: positive, predicted: positive
ID: 39.0, actual: positive, predicted: neutral
ID: 12.0, actual: positive, predicted: neutral
ID: 42.0, actual: positive, predicted: neutral
ID: 31.0, actual: positive, predicted: negative
ID: 42.0, actual: positive, predicted: neutral
ID: 2.0, actual: positive, predicted: negative
ID: 3.0, actual: positive, predicted: negative
ID: 71.0, actual: positive, predicted: neutral
ID: 89.0, actual: positive, predicted: neutral
ID: 7.0, actual: positive, predicted: positive
ID: 8.0, actual: positive, predicted: positive
ID: 23.0, actual: positive, predicted: negative
ID: 12.0, actual: positive, predicted: negative
ID: 30.0, actual: positive, predicted: neutral
ID: 16.0, actual: positive, predicted: neutral
ID: 7.0, actual: positive, predicted: positive
ID: 64.0, actual: positive, predicted: neutral
ID: 40.0, actual: positive, predicted: neutral
ID: 33.0, actual: positive, predicted: positive
ID: 17.0, actual: positive, predicted: neutral
ID: 39.0, actual: positive, predicted: negative
ID: 2.0, actual: positive, predicted: negative
ID: 17.0, actual: positive, predicted: neutral
ID: 15.0, actual: positive, predicted: positive
ID: 60.0, actual: positive, predicted: neutral
ID: 51.0, actual: positive, predicted: negative
ID: 66.0, actual: positive, predicted: neutral
ID: 3.0, actual: positive, predicted: negative
ID: 5.0, actual: positive, predicted: negative
ID: 63.0, actual: positive, predicted: negative
ID: 4.0, actual: positive, predicted: negative
ID: 12.0, actual: positive, predicted: neutral
ID: 68.0, actual: positive, predicted: neutral
ID: 26.0, actual: positive, predicted: neutral
ID: 2.0, actual: positive, predicted: negative
ID: 12.0, actual: positive, predicted: negative
ID: 67.0, actual: positive, predicted: neutral
ID: 2.0, actual: positive, predicted: negative
ID: 171.0, actual: positive, predicted: positive
ID: 106.0, actual: positive, predicted: neutral
ID: 4.0, actual: positive, predicted: negative
ID: 12.0, actual: positive, predicted: neutral
ID: 74.0, actual: positive, predicted: neutral
ID: 4.0, actual: positive, predicted: negative
ID: 6.0, actual: positive, predicted: negative
ID: 2.0, actual: positive, predicted: negative
ID: 55.0, actual: positive, predicted: neutral
ID: 79.0, actual: positive, predicted: negative
ID: 2.0, actual: positive, predicted: negative
ID: 20.0, actual: positive, predicted: negative
ID: 3.0, actual: positive, predicted: negative
ID: 23.0, actual: positive, predicted: negative
ID: 8.0, actual: positive, predicted: positive
ID: 55.0, actual: positive, predicted: neutral
ID: 3.0, actual: positive, predicted: positive
ID: 12.0, actual: positive, predicted: negative
ID: 60.0, actual: positive, predicted: neutral
ID: 89.0, actual: positive, predicted: neutral
ID: 171.0, actual: positive, predicted: positive
ID: 12.0, actual: positive, predicted: neutral
ID: 8.0, actual: positive, predicted: positive
ID: 102.0, actual: positive, predicted: negative
ID: 12.0, actual: positive, predicted: neutral
ID: 38.0, actual: positive, predicted: neutral
ID: 42.0, actual: positive, predicted: neutral
ID: 8.0, actual: positive, predicted: positive
ID: 115.0, actual: positive, predicted: neutral
ID: 50.0, actual: positive, predicted: neutral
ID: 72.0, actual: positive, predicted: neutral
ID: 4.0, actual: positive, predicted: negative
ID: 40.0, actual: positive, predicted: neutral
ID: 1.0, actual: positive, predicted: neutral
ID: 47.0, actual: positive, predicted: negative
ID: 25.0, actual: positive, predicted: positive
ID: 4.0, actual: positive, predicted: negative
